category_title       ,price,characteristic_1,characteristic_2,characteristic_3,characteristic_4,characteristic_5,characteristic_6,characteristic_7,characteristic_8,characteristic_9,characteristic_10,flag
nec dui              ,2    ,$5.09B          ,n/a             ,$1.73B          ,$2.65B          ,$8.05B          ,$91.32M         ,$1.35B          ,$1.89B          ,$68.61M         ,                 ,false
vestibulum quam      ,5    ,$745.32M        ,$507.8M         ,n/a             ,n/a             ,n/a             ,$8.55B          ,$7.87B          ,$141.67M        ,n/a             ,                 ,true
pellentesque ultrices,26   ,$5.01M          ,$284.89M        ,$19.84M         ,n/a             ,$28.16B         ,$2.85B          ,$63.73B         ,$379.39M        ,n/a             ,$8.56B           ,true
cursus id            ,65   ,$3.82B          ,$20.84M         ,$20.83B         ,$8.86B          ,$975.44M        ,n/a             ,$104.11M        ,n/a             ,$774.83M        ,$877.03M         ,true
pede libero          ,91   ,$386.9M         ,n/a             ,$12.62B         ,$1.97B          ,$356.59M        ,$741.77B        ,$1.28B          ,$13.04M         ,$262.86M        ,                 ,false
condimentum          ,58   ,$13.92B         ,$251.83B        ,$6.28B          ,$518.61M        ,$636.43M        ,n/a             ,$266.19M        ,$833.83M        ,$16.52B         ,$42.39M          ,false
eu                   ,2    ,$337.68M        ,$28.82M         ,$789.19M        ,$79.27M         ,$22.92M         ,$47.31M         ,n/a             ,$34.78M         ,n/a             ,$89.13M          ,false
sociis natoque       ,54   ,n/a             ,$9.66B          ,$1.64B          ,$124.4M         ,$1.26B          ,$6.98B          ,$414.27M        ,$437.24M        ,$6.64B          ,$620.68M         ,false
sapien               ,37   ,$9.9M           ,$18.98M         ,$165.71M        ,n/a             ,$92.42M         ,$59.23M         ,$2.2B           ,n/a             ,$4.82B          ,$22.91B          ,false
in hac               ,71   ,n/a             ,$61.14B         ,n/a             ,$49.79M         ,n/a             ,$336.38M        ,$92.98M         ,$303.43M        ,$176.55M        ,$72.51M          ,true
nascetur ridiculus   ,99   ,$172.02M        ,$927.6M         ,$315.92M        ,$34.45M         ,$10.83B         ,$1.64B          ,$14.5B          ,$1.29B          ,n/a             ,                 ,true
facilisi             ,82   ,$733.65M        ,$52.14M         ,$3.98B          ,$117.69M        ,$2.35B          ,$53.98B         ,$896.38M        ,$1.68B          ,$12.03M         ,$387.99M         ,false
et                   ,1    ,$8.4B           ,$36.46B         ,$1.32B          ,$31.1B          ,$6.31M          ,$23.72M         ,$3.46B          ,$666.84M        ,$20.13M         ,$301.42M         ,true
molestie             ,44   ,$1.38B          ,$1.58B          ,$688.3M         ,$21.18M         ,$1.31B          ,n/a             ,$2.09B          ,$182.92M        ,n/a             ,$2.09B           ,false
id ligula            ,7    ,$48.5M          ,$4.82B          ,$190.22B        ,$5.21B          ,n/a             ,$112.2M         ,n/a             ,$136.01M        ,$24.7M          ,$356.04M         ,true
massa                ,2    ,$10.9M          ,$1.97B          ,$237.43M        ,$778.92M        ,$78.51B         ,$1.04B          ,$20.56B         ,$1.66B          ,$1.45B          ,$17.01M          ,false
id                   ,52   ,$13.78M         ,$164.15M        ,n/a             ,$1.29B          ,$3.49M          ,$276.7M         ,$5.45B          ,$6.35B          ,$1.3B           ,$2.42B           ,false
hac habitasse        ,3    ,$301.42M        ,$5.84B          ,$1.62B          ,$24.37B         ,$1.18B          ,$514.79M        ,$3.18B          ,n/a             ,$10.41B         ,$94.21M          ,false
volutpat             ,84   ,$2.71B          ,$86.55M         ,$1.79B          ,$195.15M        ,$54.13M         ,n/a             ,$491.64M        ,$471M           ,$61.54M         ,n/a              ,true
amet cursus          ,64   ,$71.21M         ,$114.75M        ,$9.73M          ,$1.24B          ,$8.44B          ,$2.86B          ,$392.46M        ,n/a             ,$875.62M        ,$2.09B           ,false
accumsan             ,60   ,n/a             ,$61.73M         ,$483.16M        ,$5.84B          ,$1.32B          ,n/a             ,$158.98M        ,$55.33M         ,n/a             ,n/a              ,false
pede                 ,67   ,$588.87M        ,$1.15B          ,$217.12B        ,$356.99M        ,$1.16B          ,$85.75M         ,$410.69M        ,$5.2B           ,n/a             ,$5.48B           ,false
augue                ,60   ,$207.39M        ,$5.56B          ,n/a             ,$1.95B          ,$3.78M          ,$8.43B          ,$24.35M         ,$1.5B           ,$6.07B          ,$386.9M          ,false
leo                  ,24   ,$305.47M        ,$337.68M        ,$1.43B          ,$105.45M        ,$1.01B          ,$629.83M        ,n/a             ,$90.32M         ,$10.79B         ,$106.15M         ,true
ipsum                ,11   ,$300.86M        ,$84.47M         ,$1.18B          ,n/a             ,$306.09M        ,n/a             ,$907.67M        ,$3.47B          ,$258.6M         ,$459.39M         ,true
leo                  ,62   ,$65.89M         ,$12.15B         ,n/a             ,$479.46M        ,$582.59M        ,$73.29B         ,$1.41B          ,$517.44M        ,$59.07M         ,$5.57M           ,false
vitae                ,76   ,$22.77B         ,$122.4M         ,$1.56B          ,$40.78M         ,$844.88M        ,$4.34B          ,$1.16B          ,$1.01B          ,$1.9B           ,n/a              ,false
nulla                ,36   ,$1.85B          ,n/a             ,n/a             ,n/a             ,n/a             ,$24.88B         ,n/a             ,$8.44B          ,$519.54M        ,$91.32M          ,false
consectetuer         ,55   ,$50.2B          ,n/a             ,$98.94M         ,$312.96M        ,$105.72M        ,n/a             ,$17.97B         ,$532.25M        ,$1.79B          ,$794.46M         ,true
ipsum                ,66   ,$76.04M         ,$9.89M          ,$129.45M        ,$439.76M        ,$231.89M        ,$698.89M        ,n/a             ,$159.61M        ,$321.8M         ,$2.85B           ,true
lacus purus          ,29   ,n/a             ,$3.72B          ,n/a             ,$231.89M        ,$11.46M         ,n/a             ,$842.24M        ,$1.63B          ,$103.85M        ,$5.09B           ,false
habitasse            ,39   ,$3.61B          ,$663.12B        ,$344.13M        ,$499.79M        ,$27.64B         ,$21.66B         ,$12.38M         ,$26.61M         ,$173.77M        ,$3.66B           ,false
accumsan tortor      ,66   ,$2.09B          ,n/a             ,$14.37B         ,$559.9M         ,$97.19M         ,                ,$49.09M         ,$2.09B          ,$180.61M        ,$1.04M           ,true
in                   ,26   ,$20.27B         ,n/a             ,$1.29B          ,$137.6M         ,$39.09M         ,$66.87B         ,$18.84B         ,n/a             ,$11.75B         ,$4.32B           ,true
non                  ,69   ,$474.73M        ,$17.48M         ,$693.72M        ,$775.3M         ,$1.17B          ,$301.42M        ,$2.78B          ,$1.63B          ,$32.39B         ,$2.84B           ,true
a odio               ,96   ,$21.18M         ,n/a             ,n/a             ,$132.8M         ,$372.55M        ,                ,$10.29B         ,$1.67B          ,$696.39M        ,                 ,true
ligula               ,25   ,$296.12M        ,$220.8M         ,$1.6B           ,$3.71M          ,$392.38M        ,$209.5M         ,$5.08M          ,$94.92M         ,$397.33M        ,$6.7M            ,false
rhoncus dui          ,48   ,$1.01B          ,$19.87B         ,$28.48B         ,$2.59B          ,n/a             ,$27.19M         ,n/a             ,$1.15B          ,$97.19M         ,$758.33M         ,false
amet nunc            ,75   ,n/a             ,$136.01M        ,$57.73M         ,$79.99M         ,$51.8B          ,$272.97M        ,$568.21M        ,$2.65B          ,$445.87M        ,$47.27B          ,false
platea               ,14   ,$3.68B          ,$1.6B           ,$1.51B          ,$12M            ,$68.38M         ,$211.28M        ,$488.16M        ,$11.74B         ,$11.35M         ,$26.98B          ,false
vestibulum eget      ,74   ,$1.26B          ,$1.02B          ,$30.09B         ,$108.87B        ,$884.58M        ,$57.09M         ,$99.71M         ,$614.08M        ,$262.72M        ,$8.66M           ,true
eget tincidunt       ,68   ,$35.47M         ,n/a             ,$299.85M        ,$629.54M        ,n/a             ,$1B             ,$379.99M        ,$1.64B          ,$816.46M        ,$620.13M         ,true
a pede               ,100  ,$3.74B          ,$407.51M        ,$56.28B         ,n/a             ,$72.33M         ,$11.94B         ,$4.82B          ,$292.59M        ,n/a             ,$1.53B           ,true
amet sem             ,60   ,$56.29M         ,n/a             ,$738.7M         ,$59.41M         ,$347.55M        ,$164.43M        ,$1.52B          ,n/a             ,n/a             ,$24.59M          ,false
convallis            ,60   ,$26.41B         ,$392.94M        ,$2.71B          ,$4.01B          ,$38.23B         ,$1.27B          ,$2.78B          ,$1.55B          ,$251.77M        ,n/a              ,false
interdum             ,67   ,$10.18B         ,$693.72M        ,$324.86M        ,n/a             ,$178.86M        ,n/a             ,$91.07M         ,n/a             ,$55.6M          ,$168.26M         ,true
massa                ,42   ,$2.54B          ,$875.28M        ,$365.71M        ,n/a             ,$41.59M         ,n/a             ,$137.52M        ,$460.25M        ,$125.5M         ,$28.43B          ,true
nunc                 ,34   ,$115.54M        ,$3.53B          ,n/a             ,n/a             ,$190.99M        ,$3.63B          ,$323.6M         ,$5.8B           ,$18.84B         ,                 ,false
augue                ,56   ,n/a             ,$45.41M         ,n/a             ,$2.41B          ,$3.34B          ,                ,$24.77M         ,$195.98M        ,$13.78M         ,                 ,true
nam                  ,3    ,$7.27B          ,$23.39B         ,$686.2M         ,$1.25B          ,$652.54M        ,$5.53B          ,$367.06M        ,n/a             ,$532.95M        ,$802.72M         ,false
quam turpis          ,15   ,$7.84B          ,$938.83M        ,$387.99M        ,$19.24M         ,$269.58M        ,$1.53B          ,$82.28B         ,$666.31M        ,$1.02B          ,$648.9M          ,false
phasellus in         ,72   ,n/a             ,$629.83M        ,$374.27M        ,$2.92B          ,$38B            ,$1.24B          ,$9.06B          ,$700.65M        ,$1.81B          ,                 ,false
diam                 ,99   ,$3.46B          ,$8.91M          ,$378.29M        ,$650.54M        ,$22.77B         ,$11.35M         ,$43.1B          ,$563.71M        ,$5.4M           ,$58.01M          ,false
vel pede             ,42   ,$237.79M        ,$618.24M        ,$546.87M        ,$46.21B         ,n/a             ,$2.78B          ,$605.93M        ,$2.17B          ,$106.3M         ,$3.32B           ,true
sed                  ,96   ,n/a             ,n/a             ,$37.26B         ,$145.96M        ,$899.86M        ,$26.41B         ,$4.9M           ,n/a             ,$651.31M        ,$1.49B           ,false
lacus                ,10   ,$222.28M        ,$5.41B          ,$6.3B           ,$54.28M         ,$2.65B          ,$5.37B          ,$1.16B          ,$116.61M        ,n/a             ,$212.14M         ,true
et                   ,38   ,$32.58B         ,$2.09B          ,n/a             ,$2.89B          ,$1.32B          ,$589.8M         ,$4.45B          ,$979.59M        ,$3.08B          ,$9.71B           ,false
eu felis             ,88   ,$406.47M        ,$326.61M        ,$16.16M         ,$11.21M         ,$411.91M        ,$537.11M        ,$165.47M        ,$2.78B          ,$2.33B          ,$26.04B          ,true
nonummy              ,28   ,$136.04M        ,n/a             ,$9.21B          ,$7.99B          ,$479.19M        ,$396.21M        ,$31.21M         ,n/a             ,$13.02M         ,$442.25M         ,false
quam a               ,84   ,$15.85B         ,$59.28B         ,n/a             ,n/a             ,$21.87M         ,$89.88M         ,$249.26M        ,$451.07M        ,$1.97B          ,$9.85B           ,true
proin leo            ,58   ,$103.28M        ,$228.44M        ,$658.35M        ,$1.26B          ,$23.11B         ,n/a             ,$197.05M        ,$228.5M         ,$417.92M        ,$99.43M          ,true
phasellus id         ,93   ,$55.69B         ,$1.02B          ,n/a             ,$145.49M        ,$63.73B         ,                ,$229.8M         ,$47.48M         ,$1.97B          ,                 ,false
lobortis vel         ,19   ,$1.99B          ,$3.62B          ,$475.88M        ,$10.9M          ,$120.43M        ,$236.5M         ,n/a             ,$56.46M         ,$3.69B          ,$5.73M           ,false
viverra              ,51   ,$414.73M        ,$115.12M        ,$1.34B          ,$7.9B           ,$2.09B          ,$889.24M        ,$1.15B          ,$121.6M         ,n/a             ,$389.62M         ,true
aenean               ,58   ,$1.23B          ,$32.58B         ,n/a             ,$71.08B         ,$2.46B          ,                ,$183.15M        ,$64.41M         ,n/a             ,                 ,false
vestibulum           ,69   ,$15.84M         ,$1.61B          ,n/a             ,$175.03B        ,$736.42M        ,$54.37B         ,$8.67M          ,$168.26M        ,$3.78M          ,                 ,false
